[2026-04-19T17:17:22.453Z] GET http://localhost:5173/workbench → 200 (86ms, 8187B)
[2026-04-19T17:17:22.547Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/client/entry.js → 200 (41ms, 1472B)
[2026-04-19T17:17:22.547Z] GET http://localhost:5173/@fs/root/vibex-workbench/frontend/.svelte-kit/generated/client/app.js → 200 (45ms, 5230B)
[2026-04-19T17:17:22.592Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/client/client.js?v=999b858f → pending (?ms, ?B)
[2026-04-19T17:17:22.597Z] GET http://localhost:5173/.svelte-kit/generated/client/matchers.js → pending (?ms, ?B)
[2026-04-19T17:17:22.597Z] GET http://localhost:5173/.svelte-kit/generated/root.js → pending (?ms, ?B)
[2026-04-19T17:17:22.641Z] GET http://localhost:5173/node_modules/.vite/deps/svelte_legacy.js?v=999b858f → 200 (18ms, 2465B)
[2026-04-19T17:17:22.641Z] GET http://localhost:5173/.svelte-kit/generated/root.svelte → 200 (26ms, 10960B)
[2026-04-19T17:17:22.660Z] GET http://localhost:5173/node_modules/.vite/deps/legacy-client-By1Kyw3W.js?v=999b858f → 200 (36ms, 30479B)
[2026-04-19T17:17:22.667Z] GET http://localhost:5173/@vite/client → 200 (47ms, 204363B)
[2026-04-19T17:17:22.671Z] GET http://localhost:5173/node_modules/.vite/deps/svelte_internal_disclose-version.js?v=999b858f → 200 (36ms, 241B)
[2026-04-19T17:17:22.672Z] GET http://localhost:5173/node_modules/.vite/deps/svelte_internal_client.js?v=999b858f → 200 (41ms, 30041B)
[2026-04-19T17:17:22.673Z] GET http://localhost:5173/node_modules/.vite/deps/svelte.js?v=999b858f → 200 (39ms, 4202B)
[2026-04-19T17:17:22.673Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/app/environment/index.js?v=999b858f → 200 (34ms, 1041B)
[2026-04-19T17:17:22.691Z] GET http://localhost:5173/node_modules/.vite/deps/esm-env.js?v=999b858f → 200 (16ms, 1096B)
[2026-04-19T17:17:22.691Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/exports/internal/index.js?v=999b858f → 200 (35ms, 10803B)
[2026-04-19T17:17:22.692Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/utils/url.js?v=999b858f → 200 (82ms, 26838B)
[2026-04-19T17:17:22.692Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/client/fetcher.js?v=999b858f → 200 (86ms, 30020B)
[2026-04-19T17:17:22.692Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/client/parse.js?v=999b858f → 200 (86ms, 15177B)
[2026-04-19T17:17:22.692Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/client/session-storage.js?v=999b858f → 200 (81ms, 3164B)
[2026-04-19T17:17:22.692Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/client/utils.js?v=999b858f → 200 (85ms, 47848B)
[2026-04-19T17:17:22.692Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/app/paths/index.js?v=999b858f → 200 (84ms, 599B)
[2026-04-19T17:17:22.692Z] GET http://localhost:5173/node_modules/.vite/deps/devalue.js?v=999b858f → 200 (92ms, 27996B)
[2026-04-19T17:17:22.692Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/client/constants.js?v=999b858f → 200 (93ms, 2214B)
[2026-04-19T17:17:22.692Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/utils/exports.js?v=999b858f → 200 (86ms, 11910B)
[2026-04-19T17:17:22.692Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/utils/functions.js?v=999b858f → 200 (87ms, 1619B)
[2026-04-19T17:17:22.692Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/utils/array.js?v=999b858f → 200 (87ms, 1334B)
[2026-04-19T17:17:22.693Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/shared.js?v=999b858f → 200 (92ms, 44998B)
[2026-04-19T17:17:22.693Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/utils/error.js?v=999b858f → 200 (92ms, 5640B)
[2026-04-19T17:17:22.693Z] GET http://localhost:5173/node_modules/.vite/deps/svelte_store.js?v=999b858f → 200 (93ms, 3086B)
[2026-04-19T17:17:22.693Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/client/state.svelte.js?v=999b858f → 200 (92ms, 6351B)
[2026-04-19T17:17:22.693Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/pathname.js?v=999b858f → 200 (93ms, 6325B)
[2026-04-19T17:17:22.693Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/telemetry/noop.js?v=999b858f → 200 (103ms, 6779B)
[2026-04-19T17:17:22.693Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/utils.js?v=999b858f → 200 (104ms, 7840B)
[2026-04-19T17:17:22.697Z] GET http://localhost:5173/node_modules/.vite/deps/esm-env-B_gYOHAb.js?v=999b858f → 200 (99ms, 252B)
[2026-04-19T17:17:22.697Z] GET http://localhost:5173/node_modules/.vite/deps/runtime-DP8QNTrl.js?v=999b858f → 200 (124ms, 160691B)
[2026-04-19T17:17:22.697Z] GET http://localhost:5173/node_modules/.vite/deps/warnings-2hVNjS22.js?v=999b858f → 200 (100ms, 10899B)
[2026-04-19T17:17:22.698Z] GET http://localhost:5173/node_modules/.vite/deps/flags-C4fnQ0O1.js?v=999b858f → 200 (99ms, 730B)
[2026-04-19T17:17:22.698Z] GET http://localhost:5173/node_modules/.vite/deps/events-Ber_LsK8.js?v=999b858f → 200 (110ms, 7166B)
[2026-04-19T17:17:22.712Z] GET http://localhost:5173/@id/__x00__virtual:__sveltekit/environment → 200 (97ms, 1144B)
[2026-04-19T17:17:22.713Z] GET http://localhost:5173/node_modules/.vite/deps/index-client-CvK2vYKm.js?v=999b858f → 200 (115ms, 138213B)
[2026-04-19T17:17:22.716Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 200 (112ms, 5651B)
[2026-04-19T17:17:22.766Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/exports/internal/remote-functions.js?v=999b858f → 200 (55ms, 4366B)
[2026-04-19T17:17:22.786Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/app/paths/client.js?v=999b858f → 200 (42ms, 16413B)
[2026-04-19T17:17:22.796Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/utils/hash.js?v=999b858f → 200 (32ms, 3522B)
[2026-04-19T17:17:22.796Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/utils/routing.js?v=999b858f → 200 (32ms, 51925B)
[2026-04-19T17:17:22.828Z] GET http://localhost:5173/node_modules/.vite/deps/svelte___clsx.js?v=999b858f → 200 (3ms, 607B)
[2026-04-19T17:17:22.828Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/app/paths/internal/client.js?v=999b858f → 200 (11ms, 1241B)
[2026-04-19T17:17:22.857Z] GET http://localhost:5173/.svelte-kit/generated/client/nodes/0.js → 200 (32ms, 485B)
[2026-04-19T17:17:22.857Z] GET http://localhost:5173/.svelte-kit/generated/client/nodes/1.js → 200 (32ms, 726B)
[2026-04-19T17:17:22.859Z] GET http://localhost:5173/.svelte-kit/generated/client/nodes/3.js?t=1776619016702 → 200 (30ms, 581B)
[2026-04-19T17:17:22.891Z] GET http://localhost:5173/src/routes/+layout.svelte → 200 (6ms, 2392B)
[2026-04-19T17:17:22.891Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/components/svelte-5/error.svelte?v=999b858f → 200 (6ms, 2148B)
[2026-04-19T17:17:22.891Z] GET http://localhost:5173/src/routes/workbench/+page.svelte?t=1776619016702 → 200 (35ms, 10884B)
[2026-04-19T17:17:22.899Z] GET http://localhost:5173/src/app.css → 200 (13ms, 1225B)
[2026-04-19T17:17:22.900Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/app/state/index.js?v=999b858f → 200 (21ms, 16105B)
[2026-04-19T17:17:22.927Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/app/state/client.js?v=999b858f → 200 (28ms, 7562B)
[2026-04-19T17:17:22.927Z] GET http://localhost:5173/node_modules/@sveltejs/kit/src/runtime/app/state/server.js?v=999b858f → 200 (28ms, 8898B)
[2026-04-19T17:17:22.929Z] GET http://localhost:5173/src/lib/sse.ts → 200 (26ms, 9040B)
[2026-04-19T17:17:22.929Z] GET http://localhost:5173/src/lib/stores/thread-store.ts → 200 (27ms, 5474B)
[2026-04-19T17:17:22.929Z] GET http://localhost:5173/src/lib/components/workbench/WorkbenchShell.svelte → 200 (27ms, 5101B)
[2026-04-19T17:17:22.929Z] GET http://localhost:5173/src/lib/components/workbench/ThreadList.svelte → 200 (27ms, 9847B)
[2026-04-19T17:17:22.929Z] GET http://localhost:5173/src/lib/components/workbench/ArtifactPanel.svelte → 200 (30ms, 8604B)
[2026-04-19T17:17:22.929Z] GET http://localhost:5173/src/lib/components/workbench/Composer.svelte?t=1776619016702 → 200 (42ms, 9195B)
[2026-04-19T17:17:22.929Z] GET http://localhost:5173/src/routes/workbench/+page.svelte?svelte&type=style&lang.css → 200 (31ms, 801B)
[2026-04-19T17:17:22.956Z] GET http://localhost:5173/src/lib/stores/run-store.ts?t=1776618928571 → 200 (18ms, 4826B)
[2026-04-19T17:17:22.956Z] GET http://localhost:5173/src/lib/stores/artifact-store.ts → 200 (16ms, 6304B)
[2026-04-19T17:17:22.957Z] GET http://localhost:5173/src/lib/stores/canvas-store.ts?t=1776618928571 → 200 (15ms, 6561B)
[2026-04-19T17:17:22.957Z] GET http://localhost:5173/src/lib/components/workbench/ThreadList.svelte?svelte&type=style&lang.css → 200 (20ms, 1520B)
[2026-04-19T17:17:22.960Z] GET http://localhost:5173/src/lib/components/workbench/ArtifactPanel.svelte?svelte&type=style&lang.css → 200 (17ms, 1476B)
